scenario,date,px_close,px_pctile250,oi,nc_l,nc_s,nc_net,d_nc_l,d_nc_s,d_nc_net,d_oi,w,t5,t10,t20,t40,t60
S1_nc_l_up_2w,2012-01-03,24.51,,567599.0,128269.0,77965.0,50304.0,14782.0,2994.0,11788.0,22807.0,-4.855161158710731,-4.855161158710731,-2.0807833537331732,-3.7535699714402404,1.3871889024887896,0.3671970624234966
S1_nc_l_up_2w,2012-01-24,24.89,,636763.0,138927.0,64073.0,74854.0,8744.0,-18116.0,26860.0,23604.0,-5.022097227802325,-5.022097227802325,-1.968662113298525,3.6560867818401066,1.7677782241864115,-11.410204901566889
S1_nc_l_up_2w,2012-01-31,23.64,,666733.0,143389.0,62166.0,81223.0,4462.0,-1907.0,6369.0,29970.0,3.2148900169204575,3.2148900169204575,2.580372250423002,5.795262267343482,2.622673434856182,-9.813874788494081
S1_nc_l_up_2w,2012-02-21,25.4,,699138.0,156282.0,69069.0,87213.0,10011.0,-1200.0,11211.0,-6488.0,2.677165354330713,2.677165354330713,-5.31496062992125,0.8267716535433012,-12.047244094488185,-18.385826771653534
S1_nc_l_up_2w,2012-02-28,26.08,,723747.0,198170.0,66073.0,132097.0,41888.0,-2996.0,44884.0,24609.0,-7.783742331288335,-7.783742331288335,-7.476993865030668,-6.326687116564411,-15.490797546012269,-25.19171779141103
S1_nc_l_up_2w,2012-03-27,24.43,46.9,746727.0,199828.0,64519.0,135309.0,8966.0,-699.0,9665.0,8078.0,-0.7367990176013084,-0.7367990176013084,-1.9647973802701668,-9.783053622595173,-20.139173147769128,-13.58984854686861
S1_nc_l_up_2w,2012-04-17,23.02,2.6,730255.0,191803.0,92688.0,99115.0,669.0,26145.0,-25476.0,3698.0,-4.430929626411817,-4.430929626411817,-8.99218071242398,-11.424847958297125,-13.119026933101651,-2.4326672458731435
S1_nc_l_up_2w,2012-05-22,19.92,1.0,729589.0,191733.0,122709.0,69024.0,7463.0,-2551.0,10014.0,2322.0,-1.5060240963855498,-2.208835341365467,-0.20080321285141922,8.534136546184733,16.415662650602414,1.1546184738955745
S1_nc_l_up_2w,2012-05-29,19.62,3.7,753540.0,197758.0,128348.0,69410.0,6025.0,5639.0,386.0,23951.0,-2.854230377166167,-2.854230377166167,3.516819571865426,4.638124362895013,20.132517838939854,1.4271151885830724
S1_nc_l_up_2w,2012-06-05,19.06,1.8,775795.0,200920.0,129053.0,71867.0,3162.0,705.0,2457.0,22255.0,6.558237145855195,6.558237145855195,13.168940188877244,15.477439664218284,18.363064008394538,3.305351521511035
S1_nc_l_up_2w,2012-09-04,19.34,2.3,728205.0,167764.0,106757.0,61007.0,2878.0,16985.0,-14107.0,4789.0,0.5170630816959676,0.5170630816959676,0.5170630816959676,11.633919338159249,1.1375387797311287,-0.9307135470527417
S1_nc_l_up_2w,2012-09-11,19.44,5.6,725692.0,173290.0,119051.0,54239.0,5526.0,12294.0,-6768.0,-2513.0,0.0,0.0,2.160493827160481,10.442386831275696,0.7716049382715973,0.6687242798353754
