scenario,date,px_close,px_pctile250,oi,nc_l,nc_s,nc_net,d_nc_l,d_nc_s,d_nc_net,d_oi,w,t5,t10,t20,t40,t60
S1_nc_l_up_2w,2012-10-02,21.59,44.1,674997.0,161209.0,103724.0,57485.0,3342.0,-11118.0,14460.0,-8388.0,-0.5558128763316406,-0.5558128763316406,-6.5771190365910055,-9.4025011579435,-11.255210745715605,-9.911996294580828
S1_nc_l_up_2w,2012-10-09,21.47,43.0,679261.0,161314.0,75917.0,85397.0,105.0,-27807.0,27912.0,4264.0,-6.054960409874233,-6.054960409874233,-8.47694457382394,-8.756404285048902,-8.849557522123884,-12.20307405682346
S1_nc_l_up_2w,2012-10-16,20.17,22.9,701034.0,163728.0,92202.0,71526.0,2414.0,16285.0,-13871.0,21773.0,-2.578086266732782,-2.578086266732782,-3.0242935052057662,-4.06544372830937,-8.081308874566195,-4.858701041150226
S1_nc_l_up_2w,2012-11-20,19.9,24.8,726929.0,160890.0,128885.0,32005.0,769.0,-1987.0,2756.0,4074.0,-3.3668341708542604,-3.718592964824108,-1.6582914572864205,-3.3668341708542604,-7.236180904522604,-8.442211055276383
S1_nc_l_up_2w,2012-11-27,19.23,6.0,737882.0,163242.0,134468.0,28774.0,2352.0,5583.0,-3231.0,10953.0,1.0920436817472678,1.0920436817472678,-1.8200728029121205,-0.9360374414976613,-4.576183047321891,-6.344253770150798
S1_nc_l_up_2w,2012-12-04,19.44,14.2,759782.0,165295.0,128433.0,36862.0,2053.0,-6035.0,8088.0,21900.0,-2.880658436214001,-2.880658436214001,-0.2572016460905435,-1.7489711934156382,-3.806584362139931,-6.893004115226331
S1_nc_l_up_2w,2012-12-11,18.88,1.6,764194.0,170673.0,140219.0,30454.0,5378.0,11786.0,-6408.0,4412.0,2.701271186440679,2.701271186440679,0.9004237288135597,0.4766949152542388,-3.7605932203389703,0.15889830508475367
S1_nc_l_up_2w,2012-12-18,19.39,14.1,754990.0,178111.0,143405.0,34706.0,7438.0,3186.0,4252.0,-9204.0,-1.9082001031459517,-1.7534811758638469,-1.4956162970603315,-5.105724600309447,-7.168643630737492,-5.77617328519856
S1_nc_l_up_2w,2012-12-24,19.02,4.0,756985.0,185559.0,140911.0,44648.0,7448.0,-2494.0,9942.0,1995.0,2.5762355415352323,3.5226077812828605,-1.1566771819137678,-2.628811777076756,-4.100946372239756,-4.468980021030489
S1_nc_l_up_2w,2012-12-31,19.51,22.4,754102.0,186823.0,134316.0,52507.0,1264.0,-6595.0,7859.0,-2883.0,-3.3316248077908894,-4.613018964633531,-4.15171706817018,-4.305484366991285,-5.843157355202466,-9.687339825730401
S1_nc_l_up_2w,2013-01-22,18.17,0.4,823614.0,195714.0,178505.0,17209.0,8807.0,31513.0,-22706.0,37604.0,0.9906439185470628,0.9906439185470628,2.036323610346713,0.9906439185470628,0.8255365987892116,-2.806824435883337
S1_nc_l_up_2w,2013-01-29,18.35,1.2,829549.0,198633.0,173334.0,25299.0,2919.0,-5171.0,8090.0,5935.0,1.0354223433242327,1.0354223433242327,-1.416893732970037,-2.7792915531335227,-2.3433242506812,-5.177111716621264
S1_nc_l_up_2w,2013-02-05,18.54,4.0,841251.0,199024.0,173535.0,25489.0,391.0,201.0,190.0,11702.0,-2.4271844660194164,-2.4271844660194164,-1.024811218985966,-1.9417475728155331,-4.638619201725991,-4.962243797195242
S1_nc_l_up_2w,2013-02-12,18.09,0.4,848854.0,204192.0,193540.0,10652.0,5168.0,20005.0,-14837.0,7603.0,0.7186290768380177,1.4372581536760798,-1.3819789939192972,3.7589828634604805,-1.492537313432829,-3.427307904919852
S1_nc_l_up_2w,2013-03-05,18.18,5.2,785424.0,201344.0,198815.0,2529.0,3214.0,-783.0,3997.0,-1062.0,3.4653465346534684,3.4653465346534684,0.8800880088008833,-3.6853685368536726,-4.785478547854794,-8.25082508250825
S1_nc_l_up_2w,2013-03-12,18.81,16.8,797883.0,204540.0,169997.0,34543.0,3196.0,-28818.0,32014.0,12459.0,-2.4986709197235446,-2.4986709197235446,-5.103668261562988,-5.05050505050505,-7.2301967038809085,-12.227538543327999
S1_nc_l_up_2w,2013-03-19,18.34,8.0,801467.0,204745.0,164107.0,40638.0,205.0,-5890.0,6095.0,3584.0,-2.6717557251908275,-2.6717557251908275,-4.525627044711,-3.107960741548532,-7.688113413304254,-11.559432933478742
S1_nc_l_up_2w,2013-03-26,17.85,1.2,836833.0,205678.0,188133.0,17545.0,933.0,24026.0,-23093.0,35366.0,-1.4565826330532272,-1.904761904761909,0.056022408963585235,-2.6330532212885283,-7.002801120448177,-8.347338935574244
S1_nc_l_up_2w,2013-04-02,17.59,0.4,857592.0,208372.0,222478.0,-14106.0,2694.0,34345.0,-31651.0,20759.0,0.7390562819783897,0.7390562819783897,1.7623649801023156,0.4548038658328757,-5.287094940306991,-3.4110289937464566
S1_nc_l_up_2w,2013-04-09,17.72,3.2,870275.0,214068.0,238769.0,-24701.0,5696.0,16291.0,-10595.0,12683.0,1.0158013544018019,1.0158013544018019,0.0,-0.5643340857787726,-7.674943566591419,-7.392776523702027
S1_nc_l_up_2w,2013-05-07,17.62,4.4,805148.0,214277.0,203095.0,11182.0,2790.0,-7081.0,9871.0,-24157.0,-3.4619750283768402,-3.4619750283768402,-4.199772985244055,-7.150964812712834,-6.867196367763906,-4.540295119182747
S1_nc_l_up_2w,2013-05-14,17.01,0.4,841726.0,219773.0,224209.0,-4436.0,5496.0,21114.0,-15618.0,36578.0,-0.7642563198118957,-0.7642563198118957,-2.0576131687242927,-4.7031158142269325,-5.173427395649632,-1.116990005878904
S1_nc_l_up_2w,2013-05-21,16.88,1.2,863297.0,221241.0,234171.0,-12930.0,1468.0,9962.0,-8494.0,21571.0,-0.9478672985781977,-1.3033175355450122,-3.08056872037914,0.35545023696683664,-3.8507109004739304,1.8364928909952782
S1_nc_l_up_2w,2013-05-28,16.72,0.8,894044.0,235437.0,237973.0,-2536.0,14196.0,3802.0,10394.0,30747.0,-2.0334928229665095,-2.0334928229665095,-2.8708133971291905,1.9138755980861344,-3.409090909090906,-2.2727272727272707
S1_nc_l_up_2w,2013-06-04,16.38,0.4,932648.0,247704.0,244479.0,3225.0,12267.0,6506.0,5761.0,38604.0,-0.8547008547008628,-0.8547008547008628,2.19780219780219,0.793650793650813,3.296703296703307,0.42735042735042583
S1_nc_l_up_2w,2013-07-09,16.34,2.4,835810.0,236420.0,226314.0,10106.0,5238.0,16625.0,-11387.0,3390.0,-2.0807833537331732,-2.0807833537331732,0.0,1.346389228886169,0.0611995104039309,13.096695226438193
S1_nc_l_up_2w,2013-07-16,16.0,0.4,859880.0,236472.0,248826.0,-12354.0,52.0,22512.0,-22460.0,24070.0,2.124999999999999,2.124999999999999,5.875000000000008,7.624999999999993,7.1250000000000036,15.999999999999993
S1_nc_l_up_2w,2013-07-23,16.34,6.0,857234.0,238128.0,232975.0,5153.0,1656.0,-15851.0,17507.0,-2646.0,3.6719706242350103,3.6719706242350103,1.346389228886169,0.8567931456548328,3.488372093023262,16.3402692778458
S1_nc_l_up_2w,2013-09-03,16.47,13.6,934375.0,243207.0,216481.0,26726.0,117.0,7508.0,-7391.0,25007.0,4.371584699453557,4.371584699453557,2.0036429872495543,11.171827565270199,12.32544019429267,5.403764420157864
S1_nc_l_up_2w,2013-09-10,17.19,32.4,922110.0,245067.0,189250.0,55817.0,1860.0,-27231.0,29091.0,-12265.0,-2.2687609075043635,-2.2687609075043635,1.2798138452588592,8.376963350785328,6.108202443280963,-2.9668411867364797
S1_nc_l_up_2w,2013-10-01,18.31,61.6,787891.0,248300.0,111308.0,136992.0,13691.0,-24168.0,37859.0,-45206.0,1.7476788640087504,1.7476788640087504,2.293828509011475,1.0376843255051948,-5.1884216275259405,-11.086837793555427
S1_nc_l_up_2w,2013-10-08,18.63,70.0,814946.0,272709.0,99639.0,173070.0,24409.0,-11669.0,36078.0,27055.0,0.5367686527106841,0.5367686527106841,4.508856682769724,-2.093397745571657,-10.466988727858295,-13.687600644122389
S1_nc_l_up_2w,2013-10-15,18.73,72.8,820355.0,282109.0,92697.0,189412.0,9400.0,-6942.0,16342.0,5409.0,3.950880939668977,3.950880939668977,-1.2279765082754968,-4.538174052322486,-11.959423384943946,-16.711158569140416
S1_nc_l_up_2w,2013-10-22,19.47,95.6,830021.0,283117.0,88547.0,194570.0,1008.0,-4150.0,5158.0,9666.0,-4.982023626091414,-4.982023626091414,-6.31741140215717,-9.244992295839738,-18.387262455059062,-22.033898305084744
S1_nc_l_up_2w,2013-10-29,18.5,66.0,824363.0,286598.0,88386.0,198212.0,3481.0,-161.0,3642.0,-5658.0,-1.4054054054054133,-1.4054054054054133,-3.3513513513513615,-6.162162162162166,-11.99999999999999,-19.999999999999996
S1_nc_l_up_2w,2013-12-17,15.93,0.4,821697.0,238474.0,199659.0,38815.0,11620.0,44084.0,-32464.0,12974.0,2.1343377275580666,2.1343377275580666,2.0715630885122627,-2.5737602008788496,-1.883239171374762,7.030759573132461
S1_nc_l_up_2w,2013-12-24,16.27,8.0,832792.0,246553.0,212586.0,33967.0,8079.0,12927.0,-4848.0,11095.0,1.2292562999385304,-0.061462814996915416,-5.224339274738776,-6.760909649661951,7.0067609096496675,3.5033804548248337
S1_nc_l_up_2w,2014-01-14,15.5,0.8,819167.0,246739.0,241611.0,5128.0,316.0,22074.0,-21758.0,-18946.0,-2.0000000000000018,-3.0322580645161357,-4.580645161290331,2.0000000000000018,14.967741935483868,10.193548387096762
S1_nc_l_up_2w,2014-04-29,17.04,61.2,789475.0,251029.0,81055.0,169974.0,6898.0,163.0,6735.0,-8888.0,0.9389671361502261,0.9389671361502261,4.460093896713624,0.4107981220657253,3.9906103286384997,0.11737089201877549
S1_nc_l_up_2w,2014-05-06,17.2,68.4,782434.0,252127.0,83954.0,168173.0,1098.0,2899.0,-1801.0,-7041.0,3.488372093023262,3.488372093023262,2.209302325581386,-0.9302325581395321,3.8953488372093226,-4.302325581395339
S1_nc_l_up_2w,2014-05-13,17.8,83.6,807765.0,260268.0,83620.0,176648.0,8141.0,-334.0,8475.0,25331.0,-1.2359550561797938,-1.2359550561797938,-3.876404494382024,-5.561797752808994,-2.8651685393258464,-9.831460674157299
S1_nc_l_up_2w,2014-05-20,17.58,76.4,823802.0,265456.0,75272.0,190184.0,5188.0,-8348.0,13536.0,16037.0,-3.1854379977246827,-2.6734926052332186,-3.0716723549487956,-0.28441410693968994,-3.7542662116040737,-9.49943117178611
S1_nc_l_up_2w,2014-06-10,16.97,50.4,872550.0,263562.0,119584.0,143978.0,1672.0,25880.0,-24208.0,22436.0,0.5303476723629963,0.5303476723629963,4.949911608721269,2.6517383618149815,-3.7713612256924045,-10.842663523865637
S1_nc_l_up_2w,2014-07-01,17.8,80.4,844150.0,272551.0,94835.0,177716.0,4494.0,8636.0,-4142.0,-35111.0,-0.6741573033707926,-2.134831460674147,-4.101123595505618,-6.516853932584265,-12.35955056179776,-17.41573033707866
S1_nc_l_up_2w,2014-07-29,16.62,27.6,854026.0,252137.0,191475.0,60662.0,938.0,20631.0,-19693.0,-3924.0,-2.9482551143201086,-2.9482551143201086,-3.429602888086647,-5.354993983152834,-12.03369434416367,-0.7220216606498298
S1_nc_l_up_2w,2014-08-05,16.13,13.2,864912.0,266410.0,217851.0,48559.0,14273.0,26376.0,-12103.0,10886.0,-0.49597024178548166,-0.49597024178548166,-4.15375077495349,-3.0998140111593186,-0.5579665220086794,1.0539367637941721
S1_nc_l_up_2w,2014-08-12,16.05,11.6,887972.0,272169.0,234330.0,37839.0,5759.0,16479.0,-10720.0,23060.0,-3.676012461059186,-3.676012461059186,-1.9937694704049824,-9.532710280373834,5.42056074766355,-3.3644859813084182
S1_nc_l_up_2w,2014-08-19,15.46,5.2,895368.0,276483.0,251871.0,24612.0,4314.0,17541.0,-13227.0,7396.0,1.7464424320827954,1.7464424320827954,1.0996119016817518,-10.219922380336355,6.727037516170764,5.821474773609303
S1_nc_l_up_2w,2014-08-26,15.73,11.2,894888.0,279352.0,242760.0,36592.0,2869.0,-9111.0,11980.0,-480.0,0.5721551176096629,-0.6357279084551748,-7.692307692307699,-7.0565797838525235,4.895104895104896,0.6357279084551859
S1_nc_l_up_2w,2014-09-02,15.82,13.6,892598.0,284050.0,240097.0,43953.0,4698.0,-2663.0,7361.0,-2290.0,-5.941845764854614,-5.941845764854614,-14.348925410872315,3.9823008849557473,1.9595448798988446,1.1378002528444897
S1_nc_l_up_2w,2014-09-09,14.88,1.2,892171.0,286377.0,245464.0,40913.0,2327.0,5367.0,-3040.0,-427.0,-8.93817204301075,-8.93817204301075,-4.905913978494625,14.4489247311828,5.376344086021501,1.4112903225806495
S1_nc_l_up_2w,2014-09-30,16.45,34.8,784342.0,261721.0,252076.0,9645.0,6750.0,5828.0,922.0,-51735.0,3.5258358662614064,3.5258358662614064,2.1884498480243098,-1.9452887537993901,-2.7355623100303927,-10.273556231003035
S1_nc_l_up_2w,2014-10-28,16.13,28.8,777467.0,254603.0,241905.0,12698.0,8773.0,11528.0,-2755.0,24922.0,-2.7898326100433968,-2.7898326100433968,0.8679479231246123,-0.8059516429014146,-8.493490390576564,-4.835709857408554
S1_nc_l_up_2w,2014-11-04,15.68,18.8,798420.0,255496.0,249255.0,6241.0,893.0,7350.0,-6457.0,20953.0,3.7627551020408045,3.7627551020408045,0.1913265306122458,-3.7627551020408156,-9.630102040816324,-9.311224489795912
S1_nc_l_up_2w,2014-11-11,16.27,36.0,809762.0,261525.0,253016.0,8509.0,6029.0,3761.0,2268.0,11342.0,-3.441917639827896,-3.441917639827896,-1.659496004917027,-4.917025199754144,-8.35894283958205,-8.91210817455439
S1_nc_l_up_2w,2014-11-18,15.71,21.2,816091.0,262975.0,248298.0,14677.0,1450.0,-4718.0,6168.0,6329.0,1.8459579885423238,1.8459579885423238,-3.94653087205602,-6.301718650541055,-2.4188415022278864,-3.6282622533418185
S1_nc_l_up_2w,2014-11-25,16.0,28.0,825980.0,266906.0,233015.0,33891.0,3931.0,-15283.0,19214.0,9889.0,-4.749999999999998,-5.687500000000001,-3.312499999999996,-7.750000000000002,-4.062500000000002,-11.4375
S1_nc_l_up_2w,2014-12-02,15.24,10.8,836657.0,267712.0,260829.0,6883.0,806.0,27814.0,-27008.0,10677.0,1.1811023622047223,1.1811023622047223,-3.4776902887139083,-4.7244094488189,-2.952755905511817,-10.498687664041995
S1_nc_l_up_2w,2014-12-30,14.6,4.8,834430.0,246432.0,258568.0,-12136.0,3328.0,8575.0,-5247.0,13917.0,1.8493150684931514,1.2328767123287676,2.260273972602733,1.7123287671232834,-5.684931506849312,-16.917808219178077
S1_nc_l_up_2w,2015-01-06,14.87,10.4,841420.0,247711.0,258310.0,-10599.0,1279.0,-258.0,1537.0,6990.0,0.0,0.0,6.186953597848022,-2.824478816408882,-9.616677874915936,-14.324142568930732
S1_nc_l_up_2w,2015-03-03,13.46,0.4,819751.0,246737.0,253672.0,-6935.0,5192.0,45429.0,-40237.0,-16446.0,-3.268945022288272,-3.268945022288272,-4.754829123328386,-11.367013372956913,-2.154531946508176,-10.92124814264488
S1_nc_l_up_2w,2015-03-10,13.02,0.4,847114.0,265284.0,264161.0,1123.0,18547.0,10489.0,8058.0,27363.0,-1.5360983102918557,-1.5360983102918557,-4.377880184331795,-0.38402457757296116,-0.9984639016897057,-6.912442396313367
S1_nc_l_up_2w,2015-05-05,12.75,7.6,808794.0,238061.0,202046.0,36015.0,882.0,8086.0,-7204.0,-26086.0,6.4313725490196205,6.4313725490196205,0.8627450980392082,-5.490196078431364,-2.431372549019617,-11.607843137254903
S1_nc_l_up_2w,2015-05-12,13.57,20.8,849346.0,242083.0,177452.0,64631.0,4022.0,-24594.0,28616.0,40552.0,-5.232129697862941,-5.232129697862941,-12.527634487840833,-11.495946941783352,-12.306558585114225,-21.14959469417834
S1_nc_l_up_2w,2015-05-19,12.86,10.4,865099.0,245570.0,190073.0,55497.0,3487.0,12621.0,-9134.0,15753.0,-6.065318818040433,-7.698289269051328,-6.29860031104198,-11.74183514774494,-4.587869362363916,-18.429237947122857
S1_nc_l_up_2w,2015-05-26,12.08,1.2,891727.0,255744.0,224454.0,31290.0,10174.0,34381.0,-24207.0,26628.0,1.9867549668874274,1.9867549668874274,-0.08278145695364003,-6.870860927152322,-5.794701986754958,-12.33443708609272
S1_nc_l_up_2w,2015-06-02,12.32,4.4,912450.0,267237.0,232245.0,34992.0,11493.0,7791.0,3702.0,20723.0,-2.029220779220775,-2.029220779220775,-8.198051948051944,1.2175324675324672,-6.980519480519476,-14.529220779220786
S1_nc_l_up_2w,2015-07-21,11.42,2.4,811703.0,242981.0,219937.0,23044.0,2176.0,47508.0,-45332.0,16987.0,-2.189141856392296,-2.189141856392296,-3.5901926444833587,-6.042031523642732,0.4378283712784592,23.38003502626971
S1_nc_l_up_2w,2015-07-28,11.17,0.8,819269.0,249347.0,234204.0,15143.0,6366.0,14267.0,-7901.0,7566.0,-1.43240823634736,-1.43240823634736,-4.923903312444056,-5.102954341987465,-1.96956132497762,26.947179946284685
S1_nc_l_up_2w,2015-10-20,14.06,63.6,756639.0,240225.0,75769.0,164456.0,7770.0,2221.0,5549.0,14328.0,2.560455192034139,2.560455192034139,10.170697012802265,5.120910384068278,3.769559032716918,6.1166429587482085
S1_nc_l_up_2w,2015-10-27,14.42,70.4,801494.0,248315.0,76330.0,171985.0,8090.0,561.0,7529.0,44855.0,7.420249653259359,7.420249653259359,2.011095700416088,4.022191400832176,5.062413314840497,-2.219140083217752
S1_nc_l_up_2w,2015-11-03,15.49,92.4,827353.0,257996.0,72638.0,185358.0,9681.0,-3692.0,13373.0,25859.0,-5.035506778566812,-5.035506778566812,-4.5836023240800605,-0.9683666881859287,-1.6139444803098812,-17.1723692704971
S1_nc_l_up_2w,2016-03-22,16.58,100.0,827890.0,237051.0,62452.0,174599.0,37702.0,762.0,36940.0,59300.0,-4.342581423401681,-4.2822677925210995,-11.821471652593484,-6.091676718938466,1.3872135102533267,18.697225572979505
S1_nc_l_up_2w,2016-03-29,15.86,97.2,865776.0,258383.0,69263.0,189120.0,21332.0,6811.0,14521.0,37886.0,-7.692307692307687,-7.692307692307687,-11.286254728877676,-0.567465321563676,4.728877679697363,20.05044136191676
S1_nc_l_up_2w,2016-04-05,14.64,76.0,865816.0,259853.0,73618.0,186235.0,1470.0,4355.0,-2885.0,40.0,-3.8934426229508268,-3.8934426229508268,3.6202185792349573,10.997267759562845,18.920765027322407,42.21311475409835
S1_nc_l_up_2w,2016-05-03,16.25,98.4,789143.0,261390.0,54891.0,206499.0,20266.0,3748.0,16518.0,16693.0,-1.4153846153846183,-1.4153846153846183,3.5076923076923006,7.138461538461538,28.123076923076916,15.692307692307693
S1_nc_l_up_2w,2016-05-10,16.02,97.2,805306.0,297398.0,65622.0,231776.0,36008.0,10731.0,25277.0,16163.0,4.993757802746579,4.993757802746579,3.682896379525591,22.409488139825218,23.158551810237206,22.971285892634196
S1_nc_l_up_2w,2016-05-17,16.82,99.2,848078.0,310859.0,58525.0,252334.0,13461.0,-7097.0,20558.0,42772.0,-1.2485136741973935,-1.2485136741973935,3.5077288941736118,17.479191438763376,18.370986920332943,16.52794292508919
S1_nc_l_up_2w,2016-06-07,19.0,100.0,899793.0,318851.0,63177.0,255674.0,7547.0,7232.0,315.0,4295.0,1.7894736842105186,1.7894736842105186,1.2631578947368327,8.263157894736839,0.21052631578946102,5.578947368421039
S1_nc_l_up_2w,2016-06-14,19.34,98.4,940081.0,328829.0,66760.0,262069.0,9978.0,3583.0,6395.0,40288.0,-0.5170630816959787,-0.5170630816959787,2.4301964839710477,0.4136504653567741,1.5511892450879028,4.550155118924493
S1_nc_l_up_2w,2016-06-21,19.24,96.4,899424.0,349725.0,32409.0,317316.0,20896.0,-34351.0,55247.0,-40657.0,2.9625779625779725,2.9625779625779725,6.912681912681928,0.20790020790022457,2.494802494802495,6.444906444906451
S1_nc_l_up_2w,2016-08-09,20.39,98.0,866930.0,347273.0,49882.0,297391.0,10754.0,3158.0,7596.0,20176.0,-0.6375674350171612,-0.6375674350171612,1.6674840608141173,-0.49043648847475474,16.772927905836177,6.424717999019114
S1_nc_l_up_2w,2016-08-16,20.26,96.4,883140.0,348427.0,51518.0,296909.0,1154.0,1636.0,-482.0,16210.0,2.3198420533069974,2.3198420533069974,1.2833168805528095,-0.6416584402764158,14.2645607107601,9.131293188548861
S1_nc_l_up_2w,2016-08-23,20.73,98.8,903799.0,367444.0,58163.0,309281.0,19017.0,6645.0,12372.0,20659.0,-1.013024602026058,-1.013024602026058,-2.1225277375783946,7.09117221418234,10.323203087313072,-1.7848528702363753
S1_nc_l_up_2w,2016-08-30,20.52,96.4,908026.0,369812.0,57140.0,312672.0,2368.0,-1023.0,3391.0,4227.0,-1.4619883040935755,-1.1208576998050668,-1.900584795321636,13.401559454191037,10.477582846003909,-4.580896686159852
S1_nc_l_up_2w,2016-09-27,23.02,100.0,857858.0,365849.0,36553.0,329296.0,4940.0,2573.0,2367.0,-38780.0,1.0425716768027948,1.0425716768027948,1.1728931364031192,-0.39096437880103974,-14.205039096437877,-20.938314509122502
S1_nc_l_up_2w,2016-10-04,23.26,99.6,830713.0,365919.0,36982.0,328937.0,70.0,429.0,-359.0,-27145.0,0.12897678417884695,0.12897678417884695,-1.2897678417884806,-8.899398108340495,-14.83233018056751,-16.208082545141888
S1_nc_l_up_2w,2017-01-17,20.73,80.0,828260.0,228371.0,36200.0,192171.0,4895.0,-4282.0,9177.0,9139.0,-0.7235890014471891,-0.7235890014471891,-1.3506994693680663,-1.2542209358417877,-12.059816690786295,-19.440424505547515
S1_nc_l_up_2w,2017-01-24,20.58,77.6,834634.0,231324.0,34232.0,197092.0,2953.0,-1968.0,4921.0,6374.0,-0.631681243926141,-0.631681243926141,0.6802721088435382,0.6316812439261632,-15.937803692905728,-20.651117589893097
S1_nc_l_up_2w,2017-01-31,20.45,73.6,831344.0,233451.0,36030.0,197421.0,2127.0,1798.0,329.0,-3290.0,1.3202933985330123,1.3202933985330123,0.09779951100243878,-4.743276283618581,-16.283618581907078,-25.77017114914425
S1_nc_l_up_2w,2017-02-07,20.72,77.6,859366.0,245518.0,31699.0,213819.0,12067.0,-4331.0,16398.0,28022.0,-1.2065637065637014,-1.2065637065637014,-0.04826254826253429,-11.196911196911197,-22.29729729729729,-25.820463320463315
S1_nc_l_up_2w,2017-04-04,16.16,8.0,801818.0,228322.0,123843.0,104479.0,7955.0,18639.0,-10684.0,-5088.0,3.4653465346534684,3.4653465346534684,1.6089108910891214,-2.413366336633671,-11.943069306930687,-17.69801980198019
S1_nc_l_up_2w,2017-04-11,16.72,10.4,801536.0,240490.0,136363.0,104127.0,12168.0,12520.0,-352.0,-282.0,-0.11961722488037507,-1.794258373205726,-7.894736842105255,-5.263157894736836,-14.234449760765544,-15.37081339712918
S1_nc_l_up_2w,2017-06-13,13.79,0.8,854313.0,221926.0,210076.0,11850.0,953.0,11225.0,-10272.0,12208.0,-1.305293691080489,-1.305293691080489,-8.266860043509784,-2.175489485134152,-1.087744742567065,1.7403915881073262
S1_nc_l_up_2w,2017-08-15,13.13,2.8,815068.0,179189.0,232991.0,-53802.0,3603.0,32053.0,-28450.0,35883.0,2.894135567402878,2.894135567402878,5.255140898705246,9.139375476009137,8.910891089108919,13.023610053313007
S1_nc_l_up_2w,2017-08-22,13.51,8.0,840614.0,183907.0,252539.0,-68632.0,4718.0,19548.0,-14830.0,25546.0,2.2945965951147285,2.2945965951147285,5.77350111028867,4.145077720207269,4.219096965210967,11.69504071058476
S1_nc_l_up_2w,2017-09-26,13.21,4.0,711181.0,185260.0,211447.0,-26187.0,8127.0,14624.0,-6497.0,-56235.0,6.283118849356528,6.283118849356528,7.267221801665391,8.099924299772887,12.641937925813785,10.295230885692641
S1_nc_l_up_2w,2018-01-09,14.73,48.8,769647.0,186461.0,171315.0,15146.0,13941.0,-9403.0,23344.0,12443.0,-7.739307535641549,-8.89341479972845,-10.658520027155472,-4.95587236931433,-12.491513917175833,-16.22539035980991
S1_nc_l_up_2w,2018-01-16,13.59,10.4,823655.0,197271.0,232293.0,-35022.0,10810.0,60978.0,-50168.0,54008.0,-2.94334069168507,-2.94334069168507,0.9565857247976428,-0.8094186902133926,-6.10743193524651,-11.331861662987485
S1_nc_l_up_2w,2018-01-23,13.19,4.8,912141.0,205857.0,290317.0,-84460.0,8586.0,58024.0,-49438.0,88486.0,4.0181956027293575,4.0181956027293575,4.927975739196366,1.4404852160727843,-3.9423805913570864,-10.91736163760424
