threshold,market,start,end,L,close0,close_end,band_hi_pct,band_lo_pct,d_nc_net,d_nc_net_pct_oi,nc_net_end,oi_avg,dir,fwd4,fwd8,fwd12
0.05,可可 (ICE),2011-03-15,2011-04-19,5,3103.0,3088.0,4.48,-3.8,-13853,7.46,14125,185623,减仓,-6.023316062176165,-5.537564766839376,2.590673575129543
0.05,可可 (ICE),2011-05-10,2011-06-07,4,3002.0,2982.0,0.0,-3.33,-13578,7.14,3224,190099,减仓,5.801475519785382,-0.9725016767270334,3.8900067069081112
0.05,可可 (ICE),2011-07-26,2011-08-23,4,2974.0,3075.0,3.4,-2.25,-11673,5.96,3986,195994,减仓,-14.341463414634148,-16.552845528455286,-20.06504065040651
0.05,可可 (ICE),2011-10-04,2011-11-08,5,2635.0,2559.0,4.29,-2.88,13390,5.75,-1805,233019,增仓,-19.226260257913253,-13.325517780382967,-10.121141070730754
0.05,可可 (ICE),2012-04-17,2012-05-15,4,2269.0,2259.0,2.2,-0.44,10456,5.45,-6824,192004,增仓,-0.7082779991146482,-1.9034971226206232,8.809207613988491
0.05,可可 (ICE),2012-06-05,2012-07-10,5,2205.0,2216.0,3.9,-4.22,24060,12.71,12405,189285,增仓,10.920577617328519,17.824909747292427,7.490974729241873
0.05,可可 (ICE),2012-10-16,2012-12-04,7,2469.0,2412.0,1.9,-4.46,15257,6.88,44756,221852,增仓,-5.4311774461028195,-11.111111111111116,-12.56218905472637
0.05,可可 (ICE),2012-12-18,2013-01-29,4,2312.0,2199.0,0.0,-4.89,-24817,11.12,18368,223138,减仓,-5.457025920873127,-1.4552069122328315,7.639836289222379
0.05,可可 (ICE),2013-04-16,2013-05-14,4,2340.0,2308.0,3.08,-1.5,23878,10.28,52234,232328,增仓,-2.512998266897748,-3.119584055459268,7.01906412478337
0.05,可可 (ICE),2013-06-11,2013-07-09,4,2250.0,2236.0,0.0,-4.18,-24003,11.68,27911,205487,减仓,10.465116279069765,8.407871198568873,17.397137745974955
0.05,可可 (ICE),2013-08-13,2013-09-17,5,2489.0,2608.0,4.78,-2.61,17465,8.03,69022,217549,增仓,4.064417177914104,4.524539877300615,6.556748466257667
0.05,可可 (ICE),2014-02-18,2014-05-13,12,2962.0,2915.0,1.76,-3.38,-33074,13.99,52471,236360,减仓,6.5180102915952,6.003430531732423,10.737564322469972
0.05,可可 (ICE),2014-05-20,2014-06-17,4,3023.0,3103.0,2.71,0.0,21376,8.64,74254,247430,增仓,-0.6767644215275537,4.318401546890116,-1.6113438607798902
0.05,可可 (ICE),2014-08-19,2014-10-21,9,3192.0,3047.0,3.85,-4.54,-22580,9.04,56025,249899,减仓,-7.6140466032162735,-2.3629799803084994,-3.085001640958318
0.05,可可 (ICE),2014-12-09,2015-01-20,6,2865.0,2953.0,3.84,0.0,23944,10.35,64780,231415,增仓,-0.8465966813410053,-6.400270910938033,-3.6572976633931553
0.05,可可 (ICE),2015-03-10,2015-04-07,4,2816.0,2784.0,0.0,-2.7,-35349,14.49,27636,243969,减仓,5.962643678160928,11.458333333333325,17.45689655172413
0.05,可可 (ICE),2015-07-21,2015-08-25,5,3194.0,3073.0,0.28,-4.16,-31054,12.65,38413,245569,减仓,6.280507647250233,2.017572404816148,9.892613081679148
0.05,可可 (ICE),2015-10-27,2015-12-08,6,3259.0,3357.0,4.14,-1.14,30828,10.73,70034,287353,增仓,-10.694072088173968,-16.68156091748585,-10.7536490914507
0.05,可可 (ICE),2016-01-12,2016-02-16,5,2906.0,2877.0,0.0,-4.85,-15181,5.28,19956,287634,减仓,8.446298227320126,3.5453597497393075,3.3368091762252305
0.05,可可 (ICE),2016-05-10,2016-06-07,4,2973.0,3097.0,4.17,-1.75,-27792,10.01,27228,277613,减仓,-3.454956409428478,-2.9706167258637395,-6.490151759767516
0.05,可可 (ICE),2016-08-02,2016-08-30,4,3005.0,2896.0,2.83,-3.63,23635,9.5,42475,248703,增仓,-4.005524861878451,-4.868784530386739,-16.540055248618778
0.05,可可 (ICE),2016-09-06,2016-10-04,4,2896.0,2777.0,0.0,-4.11,-14411,5.59,22798,257833,减仓,-6.769895570759809,-13.53979114151963,-18.869283399351822
0.05,可可 (ICE),2016-12-06,2017-01-31,8,2165.0,2063.0,4.39,-4.71,-16723,5.12,-16303,326809,减仓,-5.4774600096946235,1.5026660203587117,-11.051866214251094
0.05,可可 (ICE),2017-04-11,2017-05-09,4,1914.0,1998.0,4.39,-4.13,-18227,5.5,-34176,331324,减仓,2.4024024024023927,-4.254254254254253,-1.0510510510510551
0.05,可可 (ICE),2017-09-12,2017-10-10,4,2009.0,2087.0,3.88,-1.29,24221,8.44,-11846,287037,增仓,6.037374221370384,-8.385241974125535,-13.176808816482987
0.05,可可 (ICE),2017-10-17,2017-11-14,4,2138.0,2120.0,3.51,-4.07,27853,9.66,19134,288470,增仓,-10.377358490566035,-9.339622641509438,-2.688679245283021
0.05,可可 (ICE),2019-02-05,2019-03-26,7,2231.0,2286.0,4.84,-3.23,-40115,14.41,-31483,278314,减仓,2.012248468941391,7.655293088363946,9.40507436570428
0.05,可可 (ICE),2019-04-02,2019-06-25,12,2413.0,2435.0,3.65,-4.43,68392,23.97,47727,285381,增仓,-1.8069815195071892,-8.501026694045176,1.642710472279263
0.05,可可 (ICE),2019-08-06,2019-09-03,4,2257.0,2215.0,0.0,-2.7,-49798,16.8,-21439,296437,减仓,11.873589164785558,11.01580135440181,15.30474040632055
0.05,可可 (ICE),2019-09-17,2019-11-05,7,2475.0,2492.0,1.66,-1.29,46102,13.71,37822,336217,增仓,4.97592295345104,1.1235955056179803,10.95505617977528
0.05,可可 (ICE),2020-01-14,2020-02-11,4,2799.0,2879.0,3.57,-1.21,33640,8.83,81269,380857,增仓,-15.838832928100032,-19.868009725599165,-16.81139284473776
0.05,可可 (ICE),2020-04-14,2020-06-09,8,2354.0,2316.0,2.76,-1.61,12809,5.05,7418,253795,增仓,-6.260794473229703,10.146804835924005,12.132987910189975
0.05,可可 (ICE),2020-06-16,2020-07-21,5,2246.0,2216.0,1.2,-3.65,-20923,8.54,-17767,244956,减仓,9.025270758122739,20.397111913357403,6.453068592057765
0.05,可可 (ICE),2021-01-26,2021-03-09,6,2522.0,2584.0,3.65,-3.01,11987,5.05,50272,237319,增仓,-7.469040247678016,-4.450464396284826,-6.73374613003096
0.05,可可 (ICE),2021-03-16,2021-05-04,7,2479.0,2469.0,0.0,-3.99,-37432,17.19,12956,217726,减仓,-2.3896314297286336,-6.034831915755367,-4.455245038477118
0.05,可可 (ICE),2021-06-01,2021-07-20,7,2410.0,2320.0,0.0,-4.15,-31006,12.12,-10461,255723,减仓,10.301724137931046,14.655172413793105,12.456896551724128
0.05,可可 (ICE),2021-08-10,2021-09-07,4,2608.0,2647.0,1.5,-1.88,15128,5.82,24588,260055,增仓,4.117869285984144,-9.293539856441257,-6.837929731771819
0.05,可可 (ICE),2021-11-23,2021-12-21,4,2390.0,2460.0,4.14,0.0,-16348,5.96,-7314,274262,减仓,8.943089430894302,7.235772357723569,3.0894308943089532
0.05,可可 (ICE),2022-02-15,2022-04-26,10,2638.0,2571.0,1.78,-3.87,-25543,8.63,18081,296133,减仓,-4.122909373784522,-5.017502917152861,-10.929599377674059
0.05,可可 (ICE),2022-05-03,2022-06-14,6,2472.0,2442.0,0.0,-2.47,-43245,13.0,-11479,332753,减仓,-4.668304668304668,-2.047502047502048,-1.4332514332514368
0.05,可可 (ICE),2022-07-26,2022-09-27,9,2328.0,2342.0,3.87,-3.18,-18845,5.27,-32129,357877,减仓,-1.6225448334756587,5.50811272416738,12.596071733561054
0.05,可可 (ICE),2022-11-01,2022-12-13,6,2428.0,2470.0,4.53,0.0,38825,11.8,10490,329121,增仓,7.489878542510131,6.153846153846154,9.23076923076922
0.05,可可 (ICE),2023-01-17,2023-02-28,6,2655.0,2760.0,4.63,-3.54,33672,9.26,47141,363659,增仓,6.195652173913047,6.376811594202891,8.695652173913038
0.05,可可 (ICE),2023-03-21,2023-04-25,5,2880.0,2936.0,3.51,0.0,29909,6.89,57963,433904,增仓,2.1798365122615904,10.3882833787466,20.027247956403272
0.05,糖 11号 (ICE),2012-08-14,2012-09-11,4,20.15,19.9,0.0,-3.82,-52122,6.01,50185,867629,减仓,0.7537688442211143,-4.2211055276381915,-3.467336683417077
0.05,糖 11号 (ICE),2012-10-09,2012-11-27,7,20.05,19.34,1.15,-4.94,-72932,8.77,29119,831198,减仓,-0.7755946225439403,-6.049638055842799,-3.3609100310237783
0.05,糖 11号 (ICE),2013-01-15,2013-04-09,12,18.46,18.06,1.9,-4.55,-76578,8.16,-37034,938208,减仓,-3.70985603543742,-9.02547065337762,-10.077519379844968
0.05,糖 11号 (ICE),2013-07-23,2013-09-24,9,16.47,16.81,4.25,-0.85,119284,11.73,113710,1017323,增仓,13.325401546698412,3.985722784057111,-2.320047590719787
0.05,糖 11号 (ICE),2013-12-03,2013-12-31,4,16.58,16.08,0.0,-3.02,-82559,8.25,24623,1001146,减仓,-2.985074626865658,9.825870646766187,11.815920398009961
