time,open,high,low,close,EMA,EMA,EMA,EMA
1988-10-10,52.9,56.65,52.9,55.58,63.929765156933385,63.54170523626743,62.02933000299824,61.672427763859595
1988-10-17,55.35,55.89,53.55,55.44,63.879678046862985,63.48563807200261,61.9518084735512,61.58646324297877
1988-10-24,55.4,57.65,54.75,55.66,63.831184371070286,63.43148140714446,61.877787197391775,61.50471892238596
1988-10-31,55.36,56.89,54.9,56.19,63.78610363731766,63.38136734896353,61.81087205389305,61.43141245449098
1988-11-07,56.1,56.55,54.62,55.98,63.74004992854292,63.330146813676585,61.74227355914137,61.35622055856697
1988-11-14,55.95,56.4,53.25,53.32,63.67857470772556,63.2608724412636,61.64318798785735,61.24537613706949
1988-11-21,53.55,55.75,53.07,55.7,63.63150347051184,63.208548064507454,61.573268129176675,61.16888819035129
1988-11-28,55.7,57.7,55.35,57.68,63.596391355641565,63.17028821631017,61.52746497471578,61.120765594622306
1988-12-05,57.8,58.74,56.88,58.7,63.56750409100651,63.139351965678266,61.49420068089559,61.08737572435165
1988-12-12,58.75,59.3,57.19,58.4,63.53701734120706,63.10655368217876,61.457798319943876,61.050308472981285
1988-12-19,58.48,59.35,57.88,58.93,63.509837297896105,63.077650196488946,61.42805951617983,61.021062838871195
1988-12-26,58.9,58.93,57.55,58.49,63.480221738616486,63.04590175222258,61.39349411010713,60.98615162730056
1989-01-02,58.55,59.9,55.85,59.82,63.45862751007007,63.023577172622424,61.3749824146941,60.970066777268826
1989-01-09,59.35,60.44,58.95,59.65,63.4361577312496,63.000230617794585,61.354688503933,60.951858959651325
1989-01-16,60,60.28,58.54,59.13,63.41075267088824,62.97344701490327,61.328515698004374,60.926729870552684
1989-01-23,59.15,60.55,58.09,60.4,63.392990118257636,62.955637693000824,61.317591983910205,60.919464630958856
1989-01-30,60.2,60.55,58.55,58.99,63.36701377537706,62.92819383353369,61.29020854880538,60.89285132570425
1989-02-06,58.64,59.8,57.46,58.38,63.337591865197844,62.896718443682246,61.255970801172374,60.85819130741867
1989-02-13,58.35,59,57.3,57.83,63.30509869785154,62.86165464822424,61.21566526233505,60.81642315145427
1989-02-20,58.4,59.83,58.3,59.48,63.28253174388192,62.838252193911266,61.19524567101346,60.797989728675596
1989-02-27,59.7,60.75,59.7,60.22,63.26446370999471,62.82013280156586,61.183772192530945,60.79001745655593
1989-03-06,60.3,61.8,59.85,61.64,63.254879853298576,62.81196579255849,61.18913957850117,60.80174135370688
1989-03-13,61.57,62.1,60.82,61.97,63.24729944118472,62.806139039668814,61.19832617169527,60.81785526606954
1989-03-20,62.45,62.75,61.37,61.64,63.23781684861136,62.798068873304324,61.20352233438121,60.8291951934341
1989-03-27,61.65,62.7,60.67,61.97,63.23033710319182,62.79233829286623,61.212539718682606,60.844930432145354
1989-04-03,62.6,63.78,62.2,63.31,63.230807090783614,62.795920726825635,61.23721572199222,60.87893139170197
1989-04-10,63.19,65.94,63.12,65.38,63.24348669496778,62.813803628370096,61.28595436055702,60.94101509664401
1989-04-17,65.15,66.55,64.95,66.46,63.262463174643486,62.839036821253345,61.34682548572694,61.01713902634547
